strategy,checkpoint_size,mean,std,count,ci95,p5,p95
Optimal,0.000000,719.843629,15.971632,6,12.779968,708.773867,743.401151
Optimal,200.000000,723.513812,21.954742,6,17.567452,708.773867,755.916971
Optimal,500.000000,728.648758,29.610570,6,23.693390,708.773867,771.419532
Optimal,1000.000000,736.296962,41.216486,6,32.980058,708.773867,794.473421
Optimal,2000.000000,744.387384,53.416157,6,42.741827,708.773867,817.656023
Optimal,4000.000000,749.147406,60.521563,6,48.427336,708.773867,829.540808
SkyNomad,0.000000,764.491302,56.208933,6,44.976513,711.184762,829.376034
SkyNomad,200.000000,753.760061,49.843210,6,39.882874,711.184762,823.247577
SkyNomad,500.000000,770.224850,66.829159,6,53.474464,711.184762,852.597887
SkyNomad,1000.000000,776.850530,74.731542,6,59.797688,711.184762,869.913444
SkyNomad,2000.000000,803.843462,107.372566,6,85.915946,711.184762,939.793977
SkyNomad,4000.000000,849.277404,158.437905,6,126.776727,711.184762,1045.146857
SkyNomad(o),0.000000,741.118898,36.992808,6,29.600411,708.773867,791.910491
SkyNomad(o),200.000000,748.452232,46.713840,6,37.378857,708.773867,814.910491
SkyNomad(o),500.000000,761.467261,60.838170,6,48.680675,708.773867,849.410491
SkyNomad(o),1000.000000,781.013766,89.310934,6,71.463631,708.773867,912.369763
SkyNomad(o),2000.000000,804.564252,112.570905,6,90.075484,708.773867,968.346950
SkyNomad(o),4000.000000,843.787815,153.899535,6,123.145275,708.773867,1063.092429
UP,0.000000,1985.390041,1228.550762,36,401.326582,713.544460,3893.256832
UP,200.000000,1985.390041,1228.550762,36,401.326582,713.544460,3893.256832
UP,500.000000,1985.390041,1228.550762,36,401.326582,713.544460,3893.256832
UP,1000.000000,1985.390041,1228.550762,36,401.326582,713.544460,3893.256832
UP,2000.000000,1985.390041,1228.550762,36,401.326582,713.544460,3893.256832
UP,4000.000000,1985.390041,1228.550762,36,401.326582,713.544460,3893.256832
UP(A),0.000000,1121.475826,645.809406,6,516.755149,823.012079,2047.902615
UP(A),200.000000,1128.142493,646.376306,6,517.208763,833.012079,2055.902615
UP(A),500.000000,1138.142493,647.256625,6,517.913165,848.012079,2067.902615
UP(A),1000.000000,1154.809159,648.803376,6,519.150824,873.012079,2087.902615
UP(A),2000.000000,1188.142493,652.192599,6,521.862767,901.232419,2127.902615
UP(A),4000.000000,1254.809159,660.131741,6,528.215404,941.232419,2211.994466
UP(AP),0.000000,855.952883,57.085291,6,45.677746,795.525830,924.649393
UP(AP),200.000000,867.952883,72.754593,6,58.215799,795.525830,965.649393
UP(AP),500.000000,885.952883,99.161390,6,79.345638,795.525830,1027.149393
UP(AP),1000.000000,915.952883,146.175348,6,116.964638,795.525830,1129.649393
UP(AP),2000.000000,975.952883,243.548217,6,194.879161,795.525830,1334.649393
UP(AP),4000.000000,1095.952883,441.285325,6,353.101800,795.525830,1744.649393
UP(S),0.000000,1022.916053,668.474395,6,534.890917,708.773867,1995.264115
UP(S),200.000000,1027.582719,670.350000,6,536.391714,708.773867,2003.264115
UP(S),500.000000,1034.582719,673.196689,6,538.669539,708.773867,2015.264115
UP(S),1000.000000,1046.249386,678.028672,6,542.535931,708.773867,2035.264115
UP(S),2000.000000,1069.582719,688.012411,6,550.524585,708.773867,2075.264115
UP(S),4000.000000,1116.249386,709.194946,6,567.474143,708.773867,2155.264115
