strategy,deadline_ratio,mean,std,count,ci95,p5,p95
Optimal,1.000000,4294.073414,0.000000,6,0.000000,4294.073414,4294.073414
Optimal,1.050000,840.149903,33.021166,6,26.422436,809.637840,885.305176
Optimal,1.100000,792.837148,23.373949,6,18.703055,771.473093,824.732243
Optimal,1.150000,754.950867,21.142559,6,16.917570,738.760453,785.397271
Optimal,1.200000,720.676963,17.291671,6,13.836219,708.773867,746.151151
Optimal,1.300000,661.994851,12.160162,6,9.730156,654.252800,680.232355
Optimal,1.500000,571.381698,8.306574,6,6.646643,567.019093,583.924760
Optimal,2.000000,426.173004,1.407728,6,1.126417,425.264320,427.990373
SkyNomad,1.000000,4294.073414,0.000000,6,0.000000,4294.073414,4294.073414
SkyNomad,1.050000,881.649178,70.744785,6,56.607618,812.048736,964.093467
SkyNomad,1.100000,837.157063,64.257281,6,51.416533,773.883989,909.279607
SkyNomad,1.150000,800.182689,61.282413,6,49.036143,741.171349,869.902478
SkyNomad,1.200000,766.157968,57.720654,6,46.186142,711.184762,832.126034
SkyNomad,1.300000,707.037845,54.204261,6,43.372442,656.663696,769.035930
SkyNomad,1.500000,606.376237,42.687541,6,34.157147,569.429989,659.566756
SkyNomad,2.000000,443.517672,17.819329,6,14.258433,427.675216,464.111623
SkyNomad(o),1.000000,4294.073414,0.000000,6,0.000000,4294.073414,4294.073414
SkyNomad(o),1.050000,848.587594,43.748999,6,35.006490,809.637840,910.982233
SkyNomad(o),1.100000,808.250758,39.889216,6,31.918020,771.473093,863.085771
SkyNomad(o),1.150000,774.205888,40.457947,6,32.373100,738.760453,830.373131
SkyNomad(o),1.200000,742.952232,39.382694,6,31.512718,708.773867,797.660491
SkyNomad(o),1.300000,687.779556,39.853828,6,31.889704,654.252800,743.139425
SkyNomad(o),1.500000,594.575628,34.189376,6,27.357198,567.019093,641.293899
SkyNomad(o),2.000000,446.639257,26.834408,6,21.471998,425.264320,483.086919
UP,1.000000,4851.489709,470.281256,36,153.625210,4294.073414,5567.968384
UP,1.050000,2512.673119,1387.046496,36,453.101855,856.054269,4577.269638
UP,1.100000,2235.900738,1322.428722,36,431.993382,815.836955,4244.312258
UP,1.150000,2087.614000,1279.084130,36,417.834149,781.364971,4070.245313
UP,1.200000,1985.390041,1228.550762,36,401.326582,713.544460,3893.256832
UP,1.300000,1787.648298,1143.589960,36,373.572720,659.023393,3586.428332
UP,1.500000,1514.240216,998.867159,36,326.296605,569.745147,3067.068256
UP,2.000000,1125.463260,763.150571,36,249.295853,427.990373,2335.094133
UP(A),1.000000,4294.073414,0.000000,6,0.000000,4294.073414,4294.073414
UP(A),1.050000,1293.015460,775.449366,6,620.488721,932.178379,2406.318782
UP(A),1.100000,1233.410675,729.934306,6,584.069088,894.645107,2281.160355
UP(A),1.150000,1176.730145,688.670813,6,551.051417,859.397079,2165.531485
UP(A),1.200000,1123.142493,645.949630,6,516.867351,825.512079,2049.902615
UP(A),1.300000,1031.133002,576.004473,6,460.899569,769.291559,1857.068490
UP(A),1.500000,883.642796,464.870864,6,371.974162,675.771958,1550.015989
UP(A),2.000000,641.116341,290.745067,6,232.644506,518.365104,1057.317204
UP(AP),1.000000,4294.073414,0.000000,6,0.000000,4294.073414,4294.073414
UP(AP),1.050000,1173.357463,512.073455,6,409.744101,907.074816,1919.306820
UP(AP),1.100000,938.828355,65.887959,6,52.721347,865.202322,1018.123032
UP(AP),1.150000,897.573047,62.600254,6,50.090635,829.001049,974.138836
UP(AP),1.200000,858.952883,60.769692,6,48.625881,795.525830,934.899393
UP(AP),1.300000,792.955332,57.343835,6,45.884624,733.358620,866.053133
UP(AP),1.500000,680.087030,44.963307,6,35.978139,634.890096,733.847745
UP(AP),2.000000,509.885527,34.777477,6,27.827777,476.086912,552.938320
UP(S),1.000000,4294.073414,0.000000,6,0.000000,4294.073414,4294.073414
UP(S),1.050000,1187.644137,800.162072,6,640.263004,809.637840,2350.285326
UP(S),1.100000,1128.765611,754.839181,6,603.997139,771.473093,2226.250846
UP(S),1.150000,1073.540952,707.667605,6,566.252016,738.760453,2103.018716
UP(S),1.200000,1024.082719,668.941622,6,535.264776,708.773867,1997.264115
UP(S),1.300000,936.089739,597.795591,6,478.336095,654.252800,1806.441839
UP(S),1.500000,795.005767,484.146233,6,387.397669,567.019093,1501.126197
UP(S),2.000000,568.980297,297.938178,6,238.400194,425.264320,1005.790629
