strategy,num_regions,mean,std,count,ci95,p5,p95
Optimal,1,2765.683589,1711.750053,6,1369.685305,834.443307,4561.021147
Optimal,2,1956.612433,986.402957,6,789.286749,834.443307,2986.168684
Optimal,3,1956.127025,986.076700,6,789.025689,834.443307,2986.168684
Optimal,4,1605.766346,803.249131,6,642.733165,776.456952,2677.805988
Optimal,5,1181.932619,622.364584,6,497.995384,768.438272,2091.071025
Optimal,6,681.010487,42.889641,6,34.318861,646.124640,740.234053
Optimal,7,665.576989,21.585927,6,17.272339,646.124640,691.215951
Optimal,8,665.576989,21.585927,6,17.272339,646.124640,691.215951
SkyNomad,1,2945.465458,1791.582286,6,1433.564395,834.443307,4582.958981
SkyNomad,2,2051.520917,1033.895088,6,827.288369,835.608475,2999.123409
SkyNomad,3,2037.482498,1043.838878,6,835.245058,836.386948,3010.839237
SkyNomad,4,1636.855743,803.873207,6,643.232530,780.336687,2675.937372
SkyNomad,5,1345.281816,871.132419,6,697.051109,778.201737,2638.812092
SkyNomad,6,723.240648,78.425035,6,62.753098,650.791994,829.623411
SkyNomad,7,705.597385,50.106545,6,40.093587,666.763180,779.551397
SkyNomad,8,706.611176,52.558928,6,42.055902,666.676757,784.214565
SkyNomad(o),1,2904.027327,1804.136497,6,1443.609855,834.443307,4582.958981
SkyNomad(o),2,2037.627930,1039.994246,6,832.168712,834.443307,2998.832117
SkyNomad(o),3,2034.759773,1037.137536,6,829.882867,834.443307,2994.570427
SkyNomad(o),4,1709.712950,829.571822,6,663.795705,778.310347,2742.208323
SkyNomad(o),5,1239.722765,673.761819,6,539.121737,778.310347,2228.049360
SkyNomad(o),6,712.966798,52.666492,6,42.141970,660.576474,780.555712
SkyNomad(o),7,690.527729,28.690917,6,22.957515,654.615680,723.108780
SkyNomad(o),8,690.527729,28.690917,6,22.957515,654.615680,723.108780
UP,1,2922.992725,1798.393454,6,1439.014464,837.652704,4593.480989
UP,2,2982.041380,1214.044181,12,686.910160,837.652704,4519.855173
UP,3,3060.677381,1040.362979,18,480.623175,837.652704,4446.229356
UP,4,3035.139705,1074.501094,24,429.889970,837.652704,4400.641314
UP,5,2821.693081,1154.825022,30,413.248827,832.756226,4383.091047
UP,6,2565.519250,1242.891945,36,406.011369,658.502507,4365.540779
UP,7,2358.007654,1272.176014,42,384.750000,663.504172,4345.171310
UP,8,2201.849781,1263.634774,48,357.484340,678.660724,4310.705828
UP(A),1,2994.270227,1835.383099,6,1468.612344,834.443307,4806.247173
UP(A),2,2238.226430,1079.221631,6,863.557156,860.077016,3029.759290
UP(A),3,2239.966943,1076.810944,6,861.628205,864.584530,3030.079074
UP(A),4,2242.401556,1075.931612,6,860.924593,866.848721,3033.641251
UP(A),5,2247.411446,1074.883445,6,860.085884,873.491373,3040.283904
UP(A),6,2252.209785,1074.783449,6,860.005871,878.628188,3044.121043
UP(A),7,2257.496266,1074.215447,6,859.551375,884.625505,3048.110071
UP(A),8,2263.769112,1073.940553,6,859.331414,891.110000,3054.989961
UP(AP),1,2994.270227,1835.383099,6,1468.612344,834.443307,4806.247173
UP(AP),2,2291.057436,1089.155471,6,871.505884,885.710725,3030.160465
UP(AP),3,2294.617151,1084.380113,6,867.684801,894.857235,3030.872177
UP(AP),4,2110.024362,1020.023434,6,816.188733,849.647007,2968.762036
UP(AP),5,1577.738037,1063.002864,6,850.579440,857.336089,2958.685359
UP(AP),6,805.644102,74.161015,6,59.341171,736.071279,905.899440
UP(AP),7,780.365581,31.313706,6,25.056183,734.801508,807.629590
UP(AP),8,805.690878,51.037517,6,40.838519,747.180252,872.041757
UP(S),1,2994.270227,1835.383099,6,1468.612344,834.443307,4806.247173
UP(S),2,2228.122497,1091.605104,6,873.465999,834.443307,3029.438350
UP(S),3,2228.554813,1090.943749,6,872.936804,834.584523,3029.438350
UP(S),4,2215.885909,1110.981689,6,888.970495,778.382144,3029.438350
UP(S),5,1976.765623,1052.610114,6,842.263508,778.382144,3028.357013
UP(S),6,1237.770449,892.428649,6,714.091642,731.088992,2567.226208
UP(S),7,740.513508,112.601188,6,90.099715,667.851860,906.650425
UP(S),8,746.255645,126.406834,6,101.146533,667.851860,932.490042
