strategy,scenario_name,mean,std,count,ci95
Optimal,Asia Only (3),836.048005,3.930693,6,3.145209
Optimal,Europe Only (2),777.349089,111.827295,6,89.480472
Optimal,Global (13),646.949831,2.021297,6,1.617375
Optimal,US Only (8),646.949831,2.021297,6,1.617375
SkyNomad,Asia Only (3),870.297650,82.780141,6,66.237908
SkyNomad,Europe Only (2),965.554646,439.631135,6,351.778172
SkyNomad,Global (13),683.276634,20.488483,6,16.394200
SkyNomad,US Only (8),676.035719,26.240301,6,20.996614
SkyNomad(o),Asia Only (3),875.763023,101.212221,6,80.986644
SkyNomad(o),Europe Only (2),1013.745968,344.299892,6,275.497291
SkyNomad(o),Global (13),664.885942,15.896838,6,12.720120
SkyNomad(o),US Only (8),659.284654,9.341335,6,7.474625
UP,Asia Only (3),2603.149039,1427.840632,18,659.628718
UP,Europe Only (2),2035.732378,1340.397192,12,758.401106
UP,Global (13),1846.630317,1201.058479,78,266.546463
UP,US Only (8),1515.660282,930.169626,48,263.146505
UP(A),Asia Only (3),3037.996743,2.735843,6,2.189130
UP(A),Europe Only (2),999.404663,352.908527,6,282.385634
UP(A),Global (13),3085.750492,10.317902,6,8.256041
UP(A),US Only (8),820.551233,41.518665,6,33.221851
UP(AP),Asia Only (3),1230.760903,835.622386,6,668.637165
UP(AP),Europe Only (2),1048.692659,377.044689,6,301.698585
UP(AP),Global (13),837.220315,35.129117,6,28.109148
UP(AP),US Only (8),755.763090,39.083089,6,31.272984
UP(S),Asia Only (3),1491.530856,1025.336491,6,820.440064
UP(S),Europe Only (2),997.288268,353.988102,6,283.249474
UP(S),Global (13),709.633500,44.873514,6,35.906290
UP(S),US Only (8),709.794624,46.294547,6,37.043352
