region,periods,min_h,q1,median,q3,max_h,mean_h
asia-south2-b,5,0.500000,5.333333,11.833333,49.500000,105.333333,34.500000
asia-southeast1-b,16,0.166667,0.291667,1.916667,8.291667,21.666667,4.572917
asia-southeast1-c,15,0.166667,0.833333,1.000000,3.333333,46.833333,5.777778
europe-west1-c,6,0.166667,0.166667,0.166667,0.291667,1.666667,0.444444
europe-west3-c,0,,,,,,
us-central1-a,92,0.166667,0.166667,0.333333,1.666667,13.333333,1.516304
us-central1-b,99,0.166667,0.166667,0.166667,0.333333,2.000000,0.333333
us-central1-c,92,0.166667,0.166667,0.333333,0.833333,8.666667,0.826087
us-east4-a,106,0.166667,0.333333,0.666667,1.333333,5.833333,1.163522
us-east4-b,58,0.166667,0.166667,0.333333,1.291667,11.333333,1.106322
us-east5-a,53,0.166667,0.166667,0.333333,0.666667,2.166667,0.515723
us-west1-a,37,0.166667,0.166667,0.500000,2.166667,13.666667,1.621622
us-west1-b,30,0.166667,0.166667,0.333333,0.791667,1.333333,0.511111
