from_region,to_region,price_usd_per_gb
ap-east-2,us-east-2,0.08
eu-central-2,ap-southeast-7,0.08
ap-southeast-7,eu-central-2,0.08
ap-northeast-2,eu-west-2,0.08
us-west-1,ap-southeast-7,0.08
ap-southeast-7,us-west-1,0.08
il-central-1,ap-southeast-1,0.08
mx-central-1,ap-south-1,0.08
ap-southeast-5,eu-south-1,0.08
ap-east-2,eu-south-1,0.08
ca-west-1,ap-southeast-7,0.08
ap-southeast-7,ca-west-1,0.08
ap-southeast-7,ap-northeast-1,0.08
eu-north-1,ap-southeast-7,0.08
ap-southeast-7,eu-north-1,0.08
ap-northeast-2,ca-west-1,0.08
ca-west-1,ap-northeast-2,0.08
mx-central-1,ap-southeast-4,0.08
ap-east-2,ap-southeast-5,0.08
ap-southeast-5,ap-east-2,0.08
ap-northeast-2,us-east-1,0.08
ap-southeast-7,ap-southeast-3,0.08
ap-southeast-5,eu-north-1,0.08
il-central-1,ca-central-1,0.08
il-central-1,me-south-1,0.08
ap-east-2,eu-central-1,0.08
mx-central-1,ap-southeast-2,0.08
il-central-1,ap-northeast-1,0.08
ca-west-1,ap-southeast-1,0.08
ap-southeast-5,eu-west-1,0.08
ap-southeast-7,ap-southeast-2,0.08
il-central-1,me-central-1,0.08
ap-southeast-5,ap-northeast-3,0.08
ap-southeast-7,ap-south-1,0.08
ap-east-2,eu-west-1,0.08
il-central-1,mx-central-1,0.08
ap-northeast-2,ap-south-1,0.08
ap-southeast-5,us-west-1,0.08
mx-central-1,ap-east-2,0.08
ap-northeast-2,ap-southeast-6,0.08
ca-west-1,ap-northeast-3,0.08
ap-southeast-5,eu-west-2,0.08
ap-southeast-7,ca-central-1,0.08
ca-central-1,ap-southeast-7,0.08
ap-northeast-2,eu-central-2,0.08
il-central-1,sa-east-1,0.08
ap-northeast-2,ap-south-2,0.08
il-central-1,eu-west-2,0.08
ap-northeast-2,me-central-1,0.08
ap-northeast-2,ap-east-1,0.08
ap-east-2,ap-southeast-6,0.08
ap-northeast-2,ap-southeast-1,0.08
ap-southeast-7,ap-southeast-4,0.08
ap-east-2,eu-central-2,0.08
ca-west-1,ap-southeast-6,0.08
ap-east-2,us-east-1,0.08
il-central-1,ca-west-1,0.08
ca-west-1,ap-southeast-3,0.08
mx-central-1,ap-southeast-6,0.08
ap-northeast-2,mx-central-1,0.08
mx-central-1,ap-northeast-2,0.08
ap-east-2,ap-southeast-7,0.08
ap-southeast-7,ap-east-2,0.08
mx-central-1,ap-northeast-3,0.08
mx-central-1,ap-southeast-3,0.08
il-central-1,ap-northeast-3,0.08
ap-southeast-5,ap-southeast-3,0.08
il-central-1,eu-south-2,0.08
ap-southeast-5,ap-southeast-7,0.08
ap-southeast-7,ap-southeast-5,0.08
il-central-1,eu-south-1,0.08
ap-southeast-7,eu-west-3,0.08
eu-west-3,ap-southeast-7,0.08
ap-northeast-2,il-central-1,0.08
il-central-1,ap-northeast-2,0.08
ap-northeast-2,ap-northeast-3,0.08
ap-northeast-2,us-west-2,0.08
ap-northeast-2,eu-west-3,0.08
