scenario_name,regions_in_scenario,num_regions,strategy,trace_index,task_type,trace_mode,region,strategy_file,task_duration,checkpoint_size,restart_overhead,deadline_ratio,deadline_hours,env_start_hours,use_full_trace,enforce_window_bound,data_paths,window_index,cost,migrations
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,unified_cost_model_risk,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,656.291946666669,2
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,multi_region_oracle_dp,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,646.1246400000023,0
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,unified_cost_model_oracle,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,654.7257813333357,2
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,multi_region_rc_cr_threshold_eager_failover,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,653.4101333333356,2
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,multi_region_availability_probe_simple,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,818.5006304000023,6
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,multi_region_probe_cost_ratio,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,739.4028832000022,2
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,rc_cr_threshold,0,single_region,,us-central1-a_h100_16,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,1145.3805788066745,0
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,rc_cr_threshold,0,single_region,,us-central1-b_h100_16,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,1164.3595868066748,0
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,rc_cr_threshold,0,single_region,,us-central1-c_h100_16,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,1078.529451866673,0
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,rc_cr_threshold,0,single_region,,us-east4-a_h100_16,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,651.075786666669,0
